signal_id,time,symbol,side,grade,score,entry,sl,tp1,tp2,result
85b06711,1781469000,BTC/USDT,SHORT,A,90,63954.9408,64078.7438,63831.1378,63645.4333,OPEN
9de0c1ea,1781469900,BTC/USDT,SHORT,A+,100,64077.0153,64206.2767,63947.7539,63753.8618,OPEN
846a37bc,1781470800,BTC/USDT,SHORT,A,90,64040.2639,64166.7595,63913.7683,63724.0249,OPEN
d1d6bd2d,1781471700,BTC/USDT,SHORT,A,90,64131.3228,64256.7338,64005.9118,63817.7953,OPEN
402badd5,1781472600,BTC/USDT,SHORT,A+,100,64829.9503,65018.9117,64640.9889,64357.5468,OPEN
7d4da03f,1781473500,BTC/USDT,SHORT,A+,100,65343.9165,65583.6226,65104.2104,64744.6512,OPEN
5051acdb,1781658000,BTC/USDT,SHORT,A,90,65742.6045,65902.3826,65582.8264,65343.1593,OPEN
a6bd1f12,1781658900,BTC/USDT,SHORT,A,90,65845.4668,66006.1741,65684.7595,65443.6985,OPEN
53258a9d,1781663400,BTC/USDT,SHORT,A,90,66155.3251,66352.6655,65957.9847,65661.9741,OPEN
c71ef43d,1781664300,BTC/USDT,SHORT,A,90,65908.5372,66118.6858,65698.3886,65383.1657,OPEN
be816165,1781665200,BTC/USDT,SHORT,A,90,65954.4899,66156.5296,65752.4502,65449.3907,OPEN
1cc5d37f,1781667000,BTC/USDT,SHORT,A,90,65827.7708,66018.8541,65636.6875,65350.0626,OPEN
84c3f550,1781671500,BTC/USDT,SHORT,A,90,65969.5407,66135.7433,65803.3381,65554.0342,OPEN
f23af039,1781701200,BTC/USDT,SHORT,A,90,65096.5437,65306.7185,64886.3689,64571.1067,OPEN
912cac15,1781702100,BTC/USDT,SHORT,A,90,65135.1336,65339.7082,64930.559,64623.6971,OPEN
d009a0b8,1781703900,BTC/USDT,SHORT,A+,100,65338.6819,65573.4495,65103.9143,64751.7629,OPEN
c79d0b5b,1781704800,BTC/USDT,SHORT,A+,100,65349.283,65578.4149,65120.1511,64776.4532,OPEN
7a182504,1781705700,BTC/USDT,SHORT,A,90,65403.1151,65633.4956,65172.7346,64827.1639,OPEN
013f3cec,1781706600,BTC/USDT,SHORT,A,90,65310.2325,65551.2027,65069.2623,64707.807,OPEN
680432f9,1781707500,BTC/USDT,SHORT,A,90,65172.4638,65416.639,64928.2886,64562.0258,OPEN
80bcf0af,1781708400,BTC/USDT,SHORT,A+,100,65168.8727,65438.6036,64899.1418,64494.5454,OPEN
80425b75,1781709300,BTC/USDT,SHORT,A,90,65302.233,65574.0849,65030.3811,64622.6032,OPEN
3b8c69a5,1781767800,BTC/USDT,SHORT,A+,100,64355.9566,64561.4629,64150.4503,63842.1908,OPEN
303baa47,1781770500,BTC/USDT,SHORT,A,90,64587.7582,64794.8308,64380.6856,64070.0767,OPEN
bbd7711a,1781811900,BTC/USDT,SHORT,A,90,63044.5817,63342.9084,62746.255,62298.765,OPEN
0464e511,1781812800,BTC/USDT,SHORT,A,90,63013.3112,63298.596,62728.0264,62300.0992,OPEN
23f79d66,1781813700,BTC/USDT,SHORT,A,90,63244.2922,63533.4609,62955.1235,62521.3705,OPEN
a4f09cec,1781814600,BTC/USDT,SHORT,A,90,63188.8607,63472.3033,62905.4181,62480.2542,OPEN
7dc09818,1781815500,BTC/USDT,SHORT,A,90,63201.5603,63472.2013,62930.9193,62524.9578,OPEN
bbef3466,1781827200,BTC/USDT,SHORT,A,90,63006.2067,63199.0334,62813.38,62524.14,OPEN
7a66154c,1781828100,BTC/USDT,SHORT,A,90,62909.8916,63101.4978,62718.2854,62430.8761,OPEN
817da97d,1781829900,BTC/USDT,SHORT,A,90,63097.8062,63281.9511,62913.6613,62637.444,OPEN
